REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2020-01-06,수산물,일본,일본,판매용,패류 멍게류,가리비,가리비,활,3.61 
2020-01-06,수산물,스리랑카,스리랑카,판매용,어류,멸치,멸치,건조,5.95 
2020-01-06,수산물,모로코,모로코,판매용,어류,장어,뱀장어,활,14.30 
2020-01-06,수산물,말레이시아,말레이시아,판매용,갑각류,새우,홍다리얼룩새우,냉동,15.46 
2020-01-06,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,포장횟감,필렛(F)",28.50 
2020-01-06,수산물,노르웨이,베트남,판매용,어류,고등어,고등어,"냉동,필렛(F)",4.31 
2020-01-06,수산물,페루,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.20 
2020-01-06,수산물,페루,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",1.92 
2020-01-06,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",2.86 
2020-01-06,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.00 
2020-01-06,수산물,필리핀,필리핀,판매용,연체류 해물모듬,문어,문어,"냉동,자숙",8.40 
2020-01-06,수산물,러시아,중국,판매용,어류,명태,명태,"건조,껍질",2.67 
2020-01-06,수산물,러시아,일본,판매용,알 곤이류,성게알,성게알,"냉장,횟감",362.06 
2020-01-06,수산물,세이셸,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,필렛(F),횟감",13.93 
2020-01-06,수산물,시에라리온,시에라리온,판매용,어류,서대 박대 페루다,홍서대,냉동,3.70 
2020-01-06,수산물,시에라리온,시에라리온,판매용,어류,조기 보구치 강다리,영상가이석태,냉동,4.08 
2020-01-06,수산물,시에라리온,시에라리온,판매용,어류,조기 보구치 강다리,긴가이석태,냉동,4.26 
2020-01-06,수산물,세네갈,세네갈,판매용,어류,조기 보구치 강다리,긴가이석태,냉동,5.78 
2020-01-06,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살",11.52 
2020-01-06,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,자숙",8.06 
2020-01-06,수산물,태국,태국,판매용,패류 멍게류,조개 백합 대합,백합,냉동,1.71 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,갑오징어,갑오징어,냉동,8.95 
2020-01-06,수산물,튀니지,튀니지,판매용,갑각류,게,꽃게,"냉동,집게다리",1.07 
2020-01-06,수산물,대만,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,필렛(F),횟감",13.49 
2020-01-06,수산물,대만,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,목살",5.30 
2020-01-06,수산물,대만,일본,판매용,어류,참치 새치류 ,황새치,"냉동,필렛(F),횟감",15.72 
2020-01-06,수산물,대만,대만,자사제품제조용,어류,꽁치 학꽁치,꽁치,냉동,1.43 
2020-01-06,수산물,미국,미국,판매용,어류,가자미,장수기름가자미,냉동,1.92 
2020-01-06,수산물,미국,베트남,판매용,어류,명태,명태,"냉동,창난",3.24 
2020-01-06,수산물,베트남,베트남,판매용,어류,메기 동자개,메기,냉동,1.67 
2020-01-06,수산물,베트남,베트남,판매용,어류,밴댕이,밴댕이,건조,4.19 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙,포장횟감",9.69 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,자숙",8.01 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,젓새우,염장,0.74 
2020-01-06,수산물,베트남,베트남,판매용,패류 멍게류,조개 백합 대합,백합,냉동,1.88 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,쭈꾸미,주꾸미,"냉동,자숙,포장횟감",14.71 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,해물모둠,해물혼합,냉동,6.97 
2020-01-06,수산물,바누아투,홍콩,판매용,어류,꽁치 학꽁치,꽁치,냉동,0.90 
2020-01-06,수산물,바누아투,파나마,판매용,어류,참치 새치류 ,황새치,냉동,5.00 
2020-01-06,수산물,캐나다,캐나다,판매용,갑각류,가재 랍스타,바닷가재,"냉동,자숙",14.46 
2020-01-06,수산물,중국,중국,판매용,어류,민물붕어,붕어,활,3.15 
2020-01-06,수산물,중국,중국,판매용,어류,대구,대구,건조,10.39 
2020-01-06,수산물,중국,중국,판매용,어류,도미 감성돔 돔류,감성돔,활,10.76 
2020-01-06,수산물,중국,중국,판매용,어류,아귀,아귀,"냉동,필렛(F)",3.37 
2020-01-06,수산물,중국,중국,판매용,어류,부세,부세,냉동,4.07 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,냉동,1.31 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,비너스백합,활,0.93 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,백합,활,2.38 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개,가무락조개,활,2.27 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉장,3.00 
2020-01-06,수산물,스페인,중국,판매용,어류,우럭 볼락,대서양붉은볼락,냉동,1.26 
2020-01-06,수산물,영국,영국,자사제품제조용,패류 멍게류,골뱅이,골뱅이,"냉동,살,자숙",12.11 
2020-01-06,수산물,기니,기니,판매용,어류,서대 박대 페루다,홍서대,냉동,3.69 
2020-01-06,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,갑오징어,갑오징어,냉동,7.05 
2020-01-06,수산물,인도네시아,인도네시아,자사제품제조용,젓갈류 해조류 해파리,해초,코토니,건조,1.73 
2020-01-06,수산물,아일랜드,아일랜드,판매용,갑각류,게,게,활,12.00 
2020-01-06,수산물,일본,일본,판매용,어류,준치,준치,냉장,3.46 
2020-01-06,수산물,대한민국,중국,판매용,연체류 해물모듬,오징어,오징어,냉동,2.95 
2020-01-06,수산물,멕시코,멕시코,판매용,어류,참치 새치류 ,참다랑어,냉장,22.50 
2020-01-06,수산물,말레이시아,말레이시아,판매용,갑각류,새우,흰다리새우,냉동,7.29 
2020-01-06,수산물,노르웨이,노르웨이,판매용,어류,연어,대서양연어,냉동,6.78 
2020-01-06,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,12.20 
2020-01-06,수산물,뉴질랜드,뉴질랜드,판매용,패류 멍게류,홍합,홍합,"냉동,자숙,한쪽껍질붙은",6.94 
2020-01-06,수산물,페루,페루,판매용,알 곤이류,성게알,성게알,"냉장,횟감",75.13 
2020-01-06,수산물,필리핀,필리핀,판매용,연체류 해물모듬,문어,문어,"냉동,슬라이스(S),자숙,포장횟감",15.04 
2020-01-06,수산물,러시아,중국,판매용,어류,대구,대구,"냉동,필렛(F)",7.41 
2020-01-06,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙,포장횟감",15.13 
2020-01-06,수산물,태국,태국,판매용,젓갈류 해조류 해파리,해파리,해파리,염장,2.73 
2020-01-06,수산물,튀니지,튀니지,판매용,갑각류,게,꽃게,"냉동,절단",4.44 
2020-01-06,수산물,터키,터키,판매용,어류,장어,뱀장어,활,12.00 
2020-01-06,수산물,대만,일본,판매용,어류,참치 새치류 ,황다랑어,"냉동,필렛(F),횟감",8.74 
2020-01-06,수산물,대만,대만,판매용,어류,틸라피아(역돔),틸라피아,"냉동,포장횟감,필렛(F)",8.99 
2020-01-06,수산물,미국,중국,판매용,어류,가자미,각시가자미,냉동,2.51 
2020-01-06,수산물,미국,미국,판매용,어류,대구,대구,"냉동,머리",2.00 
2020-01-06,수산물,미국,미국,판매용,어류,장어,먹장어,활,8.10 
2020-01-06,수산물,미국,미국,판매용,갑각류,게,던지네스게,활,17.06 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,포장횟감",11.19 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,오징어,화살오징어,건조,32.00 
2020-01-06,수산물,칠레,칠레,판매용,어류,연어,대서양연어,냉동,6.55 
2020-01-06,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",2.24 
2020-01-06,수산물,중국,중국,판매용,어류,갈치,갈치,냉동,6.93 
2020-01-06,수산물,중국,중국,판매용,어류,민어 점성어,홍민어,활,4.54 
2020-01-06,수산물,중국,중국,판매용,어류,복어,검복,냉동,1.92 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,문어,문어,냉동,6.64 
2020-01-06,수산물,스페인,스페인,판매용,어류,참치 새치류 ,대서양참다랑어,냉장,28.40 
2020-01-06,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉동,5.07 
2020-01-06,수산물,인도,인도,판매용,갑각류,새우,흰다리새우,"냉동,살",7.61 
2020-01-06,수산물,일본,일본,판매용,어류,가오리,가오리,냉장,2.07 
2020-01-06,수산물,일본,일본,판매용,어류,도미 감성돔 돔류,황돔,냉장,7.22 
2020-01-06,수산물,모로코,모로코,판매용,어류,갈치,갈치,냉동,2.71 
2020-01-06,수산물,필리핀,필리핀,판매용,패류 멍게류,해삼,해삼,"건조,자숙",93.96 
2020-01-06,수산물,튀니지,튀니지,판매용,어류,장어,뱀장어,활,12.79 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,게,게,냉동,3.24 
2020-01-06,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",1.89 
2020-01-06,수산물,중국,중국,판매용,어류,참치 새치류 ,황새치,냉동,5.00 
2020-01-06,수산물,중국,중국,판매용,어류,농어,농어,활,5.88 
2020-01-06,수산물,중국,중국,판매용,어류,복어,흑밀복,냉동,1.33 
2020-01-06,수산물,중국,중국,판매용,어류,복어,까치복,냉동,2.42 
2020-01-06,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살",6.57 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,재첩,재첩,활,0.38 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,아담스백합,활,0.95 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,민들조개,활,0.96 
2020-01-06,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,낙지,낙지,냉동,5.83 
2020-01-06,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",1.68 
2020-01-06,수산물,필리핀,필리핀,판매용,패류 멍게류,전복,전복,"냉동,살,자숙",19.22 
2020-01-06,수산물,사우디아라비아,사우디아라비아,판매용,갑각류,새우,흰다리새우,"냉동,자숙",5.30 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,낙지,낙지,냉동,7.22 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,낙지,낙지,냉장,9.53 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,갑오징어,갑오징어,냉장,10.08 
2020-01-06,수산물,미국,미국,판매용,알 곤이류,성게알,성게알,"냉장,횟감",91.07 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,낙지,낙지,냉장,10.04 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,갑오징어,갑오징어,"냉동,동체",9.94 
2020-01-06,수산물,중국,중국,판매용,어류,대구,대구,냉장,2.69 
2020-01-06,수산물,중국,중국,판매용,어류,아귀,아귀,냉장,2.44 
2020-01-06,수산물,중국,중국,판매용,갑각류,새우,새우,건조,7.06 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,"냉동,살,자숙",2.24 
2020-01-06,수산물,러시아,러시아,판매용,어류,명태,명태,"냉동,곤이",1.61 
2020-01-06,수산물,미국,미국,판매용,어류,홍어,홍어,냉동,5.04 
2020-01-06,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.28 
2020-01-06,수산물,중국,중국,판매용,어류,미꾸라지,미꾸라지,활,3.63 
2020-01-06,수산물,중국,중국,판매용,갑각류,게,민꽃게,냉동,3.26 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,고동,피뿔고둥,활,3.16 
2020-01-06,수산물,일본,일본,판매용,어류,홍어,홍어,냉장,6.05 
2020-01-06,수산물,노르웨이,노르웨이,판매용,갑각류,게,왕게,활,38.51 
2020-01-06,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.17 
2020-01-06,수산물,러시아,러시아,판매용,어류,명태,명태,냉동,1.34 
2020-01-06,수산물,러시아,러시아,판매용,갑각류,게,왕게,냉장,7.40 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉동,6.87 
2020-01-06,수산물,아르헨티나,아르헨티나,판매용,어류,가오리,가오리,냉동,4.87 
2020-01-06,수산물,중국,중국,판매용,어류,메기 동자개,동자개,활,5.28 
2020-01-06,수산물,중국,중국,판매용,어류,홍어,홍어,냉장,5.60 
2020-01-06,수산물,중국,중국,판매용,어류,조기 보구치 강다리 ,참조기,냉동,3.83 
2020-01-06,수산물,러시아,중국,판매용,어류,명태,명태,냉동,3.26 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",7.37 
2020-01-06,수산물,아르헨티나,아르헨티나,판매용,어류,홍어,홍어,냉동,4.59 
2020-01-06,수산물,캐나다,캐나다,판매용,알 곤이류,성게알,성게알,"냉장,횟감",104.27 
2020-01-06,수산물,중국,중국,자사제품제조용,연체류 해물모듬,오징어,오징어,냉동,4.39 
2020-01-06,수산물,기니,기니,판매용,어류,서대 박대 페루다,서대,냉동,3.36 
2020-01-06,수산물,러시아,중국,판매용,어류,명태,명태,"냉동,필렛(F)",3.23 
2020-01-06,수산물,중국,중국,판매용,어류,잉어,이스라엘잉어,활,2.52 
2020-01-06,수산물,중국,중국,판매용,갑각류,게,꽃게,냉동,3.70 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.84 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,낙지,낙지,냉동,6.61 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,개불,개불,활,13.33 
2020-01-06,수산물,에콰도르,에콰도르,판매용,갑각류,새우,흰다리새우,냉동,6.02 
2020-01-06,수산물,러시아,중국,판매용,어류,가자미,각시가자미,냉동,2.25 
2020-01-06,수산물,러시아,러시아,외화획득용 원료,갑각류,게,붉은대게,"냉동,자숙,절단",6.33 
2020-01-06,수산물,대만,대만,판매용,어류,참치 새치류 ,황새치,냉동,5.00 
2020-01-06,수산물,일본,일본,판매용,어류,갈치,갈치,냉장,5.41 
2020-01-06,수산물,일본,일본,판매용,어류,도미 감성돔 돔류,참돔,활,7.31 
2020-01-06,수산물,미국,미국,판매용,갑각류,가재 랍스타,바다가재,활,26.57 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,갑오징어,갑오징어,냉동,5.01 
2020-01-06,수산물,일본,일본,판매용,어류,명태,명태,냉장,2.97 
2020-01-06,수산물,미국,미국,판매용,어류,대구,대구,"냉동,목살",2.35 
2020-01-06,수산물,미국,미국,판매용,알 곤이류,명란(명태알),명태알,"냉동,알",3.48 
2020-01-06,수산물,기니,기니,판매용,어류,조기 보구치 강다리,영상가이석태,냉동,4.61 
2020-01-06,수산물,미국,미국,판매용,어류,명태,명태,냉동,1.69 
2020-01-06,수산물,러시아,러시아,판매용,어류,대구,대구,"냉동,목살",1.90 
2020-01-06,수산물,태국,태국,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉장,7.07 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,"백합,MERCENARIA MERCENARIA",활,0.91 
2020-01-06,수산물,중국,홍콩,판매용,어류,부세,부세,냉동,4.16 
2020-01-06,수산물,기니,기니,판매용,어류,조기 보구치 강다리,긴가이석태,냉동,4.19 
2020-01-06,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F)",16.34 
2020-01-06,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F)",14.76 
2020-01-06,수산물,러시아,러시아,판매용,갑각류,게,대게,활,23.45 
2020-01-06,수산물,미국,미국,판매용,어류,가오리,가오리,냉동,2.17 
2020-01-06,수산물,일본,일본,판매용,패류 멍게류,멍게,멍게,활,2.17 
2020-01-06,수산물,일본,일본,판매용,어류,방어,방어,활,8.73 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,낙지,낙지,냉동,6.84 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,조개,개조개,활,1.61 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,냉동,4.35 
2020-01-06,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살",8.25 
2020-01-06,수산물,러시아,러시아,판매용,갑각류,게,왕게,활,39.37 
2020-01-06,수산물,대만,대만,판매용,어류,꽁치 학꽁치,꽁치,냉동,1.62 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,낙지,낙지,냉장,5.24 
2020-01-06,수산물,중국,중국,판매용,갑각류,게,꽃게,"냉동,절단",3.15 
2020-01-06,수산물,캐나다,캐나다,판매용,갑각류,가재 랍스타,바다가재,활,29.04 
2020-01-06,수산물,노르웨이,노르웨이,판매용,어류,고등어,고등어,냉동,2.17 
2020-01-06,수산물,베트남,베트남,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉동,5.49 
2020-01-06,수산물,중국,중국,판매용,어류,아귀,아귀,냉동,1.48 
2020-01-06,수산물,중국,중국,판매용,연체류 해물모듬,낙지,낙지,활,8.37 
2020-01-06,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,활,0.82 
2020-01-06,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,13.17 
2020-01-13,수산물,호주,호주,판매용,어류,장어,뱀장어,활,12.23 
2020-01-13,수산물,브라질,브라질,판매용,어류,가오리,가오리,냉동,3.91 
2020-01-13,수산물,캐나다,중국,판매용,어류,열빙어(시샤모),열빙어,냉동,5.06 
2020-01-13,수산물,중국,중국,판매용,어류,잉어,잉어,활,2.26 
2020-01-13,수산물,중국,중국,판매용,어류,갈치,갈치,냉동,6.26 
2020-01-13,수산물,중국,중국,판매용,어류,민어 점성어,민어,냉동,4.90 
2020-01-13,수산물,중국,중국,판매용,어류,아귀,아귀,"냉장,간",2.00 
2020-01-13,수산물,중국,중국,판매용,어류,복어,자주복,활,18.50 
2020-01-13,수산물,중국,중국,판매용,어류,가자미,돌가자미,활,11.60 
2020-01-13,수산물,중국,중국,판매용,갑각류,새우,적새우,"냉동,살",6.14 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,꼬막,꼬막,활,1.40 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,가리비,가리비,"냉동,한쪽껍질붙은",4.84 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,가리비,가리비,"냉동,개아지살,살",16.23 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,키조개,"냉동,개아지살,살",10.95 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,주름백합,활,2.00 
2020-01-13,수산물,중국,중국,판매용,패류 멍게류,조개 백합 대합,밤색무늬조개,활,0.98 
2020-01-13,수산물,중국,중국,판매용,연체류 해물모듬,문어,문어,"냉동,슬라이스(S),자숙,포장횟감",18.82 
2020-01-13,수산물,중국,중국,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉동,4.79 
2020-01-13,수산물,중국,중국,외화획득용 원료,젓갈류 해조류 해파리,미역,미역,"절단,건조",6.90 
2020-01-13,수산물,중국,중국,외화획득용 원료,젓갈류 해조류 해파리,미역,미역,염장,0.50 
2020-01-13,수산물,중국,중국,자사제품제조용,젓갈류 해조류 해파리,미역,미역,"줄기,염장",1.50 
2020-01-13,수산물,영국,영국,판매용,어류,연어,연어,냉장,13.40 
2020-01-13,수산물,영국,영국,판매용,패류 멍게류,골뱅이,골뱅이,"냉동,살,자숙",11.87 
2020-01-13,수산물,영국,영국,자사제품제조용,패류 멍게류,골뱅이,골뱅이,"냉동,살,자숙",12.35 
2020-01-13,수산물,감비아,감비아,판매용,어류,서대 박대 페루다,서대,냉동,3.06 
2020-01-13,수산물,감비아,감비아,판매용,어류,조기 보구치 강다리,영상가이석태,냉동,5.09 
2020-01-13,수산물,감비아,감비아,판매용,어류,조기 보구치 강다리,긴가이석태,냉동,5.24 
2020-01-13,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,오징어,화살오징어,냉동,8.56 
2020-01-13,수산물,인도네시아,인도네시아,판매용,패류 멍게류,해삼,해삼,"건조,자숙",93.96 
2020-01-13,수산물,인도네시아,인도네시아,자사제품제조용,젓갈류 해조류 해파리,해초,코토니,건조,1.77 
2020-01-13,수산물,아일랜드,아일랜드,자사제품제조용,패류 멍게류,골뱅이,골뱅이,"냉동,살,자숙",12.86 
2020-01-13,수산물,인도,인도,판매용,어류,능성어 붉바리 바리,바리,냉동,1.94 
2020-01-13,수산물,아이슬란드,아이슬란드,판매용,어류,연어,연어,냉장,11.82 
2020-01-13,수산물,일본,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,필렛(F),횟감",15.05 
2020-01-13,수산물,일본,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,목살,횟감",6.84 
2020-01-13,수산물,일본,일본,판매용,어류,준치,준치,냉장,4.82 
2020-01-13,수산물,일본,일본,판매용,어류,장어,먹장어,활,8.25 
2020-01-13,수산물,일본,일본,판매용,패류 멍게류,조개 백합 대합,북방대합,활,4.15 
2020-01-13,수산물,모로코,모로코,판매용,어류,장어,뱀장어,활,14.25 
2020-01-13,수산물,멕시코,멕시코,외화획득용 원료,패류 멍게류,소라,소라,"냉동,살,자숙",3.59 
2020-01-13,수산물,말레이시아,말레이시아,판매용,패류 멍게류,전복,전복,"냉동,살,자숙",20.00 
2020-01-13,수산물,노르웨이,노르웨이,판매용,어류,연어,대서양연어,냉동,7.06 
2020-01-13,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",2.18 
2020-01-13,수산물,필리핀,필리핀,판매용,패류 멍게류,꼬막,꼬막,활,6.93 
2020-01-13,수산물,필리핀,필리핀,판매용,패류 멍게류,전복,전복,"냉동,살,자숙",21.65 
2020-01-13,수산물,러시아,러시아,판매용,어류,가오리,가오리,냉동,1.73 
2020-01-13,수산물,러시아,러시아,판매용,알 곤이류,명란(명태알),명태알,"냉동,알",4.30 
2020-01-13,수산물,러시아,러시아,외화획득용 원료,갑각류,게,대게,"냉동,절단",20.40 
2020-01-13,수산물,러시아,러시아,합작,어류,명태,명태,냉동,1.33 
2020-01-13,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",12.70 
2020-01-13,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살",11.60 
2020-01-13,수산물,태국,태국,판매용,패류 멍게류,조개 백합 대합,백합,냉동,1.76 
2020-01-13,수산물,태국,태국,판매용,연체류 해물모듬,낙지,낙지,냉동,7.14 
2020-01-13,수산물,대만,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,필렛(F),횟감",13.75 
2020-01-13,수산물,대만,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,목살,횟감",4.33 
2020-01-13,수산물,대만,대만,판매용,어류,꽁치 학꽁치,꽁치,냉동,1.79 
2020-01-13,수산물,대만,대만,판매용,연체류 해물모듬,오징어,오징어,냉동,4.55 
2020-01-13,수산물,미국,중국,판매용,어류,대구,대구,"냉동,필렛(F)",7.76 
2020-01-13,수산물,미국,중국,판매용,어류,명태,명태,"냉동,필렛(F)",3.36 
2020-01-13,수산물,미국,중국,판매용,어류,가자미,각시가자미,냉동,2.90 
2020-01-13,수산물,미국,미국,판매용,어류,명태,명태,냉동,1.69 
2020-01-13,수산물,미국,미국,판매용,어류,임연수,임연수어,냉동,1.42 
2020-01-13,수산물,미국,미국,판매용,어류,아귀,아귀,냉동,4.24 
